City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Lucapa,AO,-8.4192,20.7447,63.1,88,100,1.32,overcast clouds
117,Georgetown,MY,5.4112,100.3354,80.53,85,20,8.05,few clouds
118,Xuddur,SO,4.1213,43.8894,73.22,35,95,11.48,overcast clouds
119,Patiya,BD,22.2931,91.9762,52.54,60,2,6.2,clear sky
120,Jacksonville Beach,US,30.2947,-81.3931,79.07,72,75,8.05,broken clouds
121,Carauari,BR,-4.8828,-66.8958,74.77,96,98,5.37,overcast clouds
122,Naples,IT,40.8333,14.25,56.12,78,40,6.91,scattered clouds
123,Kumta,IN,14.4167,74.4,70.21,43,79,6.11,broken clouds
124,Port Said,EG,31.2565,32.2841,60.78,88,0,9.22,clear sky
125,Talnakh,RU,69.4865,88.3972,-18.8,85,100,5.46,overcast clouds
126,Mayo,US,38.8876,-76.5119,55.81,53,0,10.36,clear sky
127,Vila Velha,BR,-20.3297,-40.2925,80.55,82,40,10.36,scattered clouds
128,Longyearbyen,SJ,78.2186,15.6401,6.64,78,0,11.5,clear sky
129,Zhezkazgan,KZ,47.8043,67.7144,5.4,86,4,9.8,clear sky
130,Qaanaaq,GL,77.484,-69.3632,-20.4,95,100,3.44,overcast clouds
131,Lompoc,US,34.6391,-120.4579,62.69,52,40,8.05,scattered clouds
132,Okha,RU,53.5739,142.9478,-36.47,100,35,5.77,scattered clouds
133,Bara,NG,10.3744,10.7288,72.32,26,4,8.32,clear sky
134,Kindu,CD,-2.95,25.95,70.11,97,94,3.11,light rain
135,Hofn,IS,64.2539,-15.2082,27.93,60,24,26.08,few clouds
136,Sitka,US,57.0531,-135.33,40.89,70,75,12.66,broken clouds
137,Cap Malheureux,MU,-19.9842,57.6142,78.48,85,100,5.99,light rain
138,East London,ZA,-33.0153,27.9116,77.29,87,63,18.95,broken clouds
139,Mnogovershinnyy,RU,53.9353,139.9242,-33.5,91,19,3.09,few clouds
140,Lima,PE,-12.0432,-77.0282,71.85,73,0,10.36,clear sky
141,Ilulissat,GL,69.2167,-51.1,-30.05,68,1,6.04,clear sky
142,Santiago De Compostela,ES,42.8805,-8.5457,46.18,88,40,0.0,scattered clouds
143,Carnarvon,AU,-24.8667,113.6333,76.98,76,26,7.07,scattered clouds
144,Papar,MY,5.7333,115.9333,73.4,88,100,3.24,overcast clouds
145,Victoria,HK,22.2855,114.1577,58.24,74,60,1.01,broken clouds
146,Chaman,PK,30.9236,66.4512,38.93,93,100,1.72,overcast clouds
147,Kununurra,AU,-15.7667,128.7333,76.98,100,75,5.75,broken clouds
148,Belaya Gora,RU,68.5333,146.4167,-26.73,99,99,2.37,overcast clouds
149,Cape Town,ZA,-33.9258,18.4232,71.1,80,75,3.44,broken clouds
150,Yuli,NG,9.6989,10.2744,72.43,26,36,5.19,scattered clouds
151,Hami,CN,42.8,93.45,13.19,50,0,6.82,clear sky
152,Bonavista,CA,48.6499,-53.1147,37.06,92,100,17.4,overcast clouds
153,Arlit,NE,18.7369,7.3853,64.54,10,53,8.28,broken clouds
154,Komsomolskiy,UZ,40.4272,71.7189,18.32,73,94,4.61,overcast clouds
155,Bilma,NE,18.6853,12.9164,63.34,18,18,4.85,few clouds
156,Cayenne,GF,4.9333,-52.3333,77.04,88,75,6.91,broken clouds
157,Yulara,AU,-25.2406,130.9889,75.02,43,0,17.56,clear sky
158,Lata,PT,40.1629,-8.3327,42.08,87,48,1.86,scattered clouds
159,Great Yarmouth,GB,52.6083,1.7305,37.42,91,33,15.73,light rain
160,Letka,RU,59.6011,49.4232,15.46,91,97,8.77,overcast clouds
161,Urcos,PE,-13.6861,-71.6228,64.29,90,99,0.31,overcast clouds
162,Seybaplaya,MX,19.65,-90.6667,84.99,55,66,4.45,broken clouds
163,Oistins,BB,13.0667,-59.5333,78.89,69,40,16.11,scattered clouds
164,Itaperucu,BR,-25.22,-49.3478,68.95,98,100,2.26,overcast clouds
165,Atambua,ID,-9.1061,124.8925,73.78,89,100,1.39,light rain
166,Langsa,ID,4.4683,97.9683,70.5,90,79,2.35,broken clouds
167,Assiniboia,CA,49.6334,-105.9845,28.22,100,92,1.14,overcast clouds
168,Necochea,AR,-38.5473,-58.7368,73.67,71,100,21.65,light rain
169,Mwinilunga,ZM,-11.7358,24.4293,59.95,98,77,3.38,broken clouds
170,Jalu,LY,29.0331,21.5482,58.46,39,0,9.08,clear sky
