,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
328,Caravelas,BR,76.35,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
331,Ca Mau,VN,73.49,broken clouds,9.1769,105.15,Khách sạn Song Ngọc
346,Vao,NC,72.95,light rain,-22.6667,167.4833,Nataiwatch
349,Dawei,MM,66.63,broken clouds,14.0833,98.2,Royal Dawei ဟိုတယ်
352,Sechura,PE,78.67,scattered clouds,-5.5569,-80.8222,Hospedaje Claritza
355,Camopi,GF,71.64,heavy intensity rain,3.1655,-52.3158,Chez Lucia
357,Odweyne,SO,66.34,scattered clouds,9.4092,45.064,فندق المدينه
358,Puerto Colombia,CO,86.09,few clouds,10.9878,-74.9547,Hotel Puerto Colombia
368,Chulumani,BO,68.58,overcast clouds,-16.4096,-67.5263,Hotel Panorama
369,Saldanha,ZA,68.05,scattered clouds,-33.0117,17.9442,Hoedjesbaai
377,Isangel,VU,78.91,thunderstorm with rain,-19.55,169.2667,Tanna Lodge
379,Pimenta Bueno,BR,73.11,very heavy rain,-11.6725,-61.1936,Cristalina palace hotel
380,Matara,LK,73.02,overcast clouds,5.9485,80.5353,Villa Palm Breeze
388,Boa Vista,BR,85.98,light rain,2.8197,-60.6733,Aipana Plaza Hotel
390,Vallenar,CL,82.11,clear sky,-28.5708,-70.7581,Hotel del Marqués
392,Grand Gaube,MU,79.2,light rain,-20.0064,57.6608,Coco Villa
397,Thohoyandou,ZA,72.57,broken clouds,-22.9456,30.485,Khoroni Hotel Casino and Convention Resort
399,Kathu,TH,73.22,broken clouds,7.9178,98.3332,Tinidee Hotel
402,Cabo San Lucas,MX,75.61,overcast clouds,22.8909,-109.9124,Comfort Rooms
412,Miri,MY,75.34,scattered clouds,4.4148,114.0089,Kenyalang Suites Miri
413,Angoche,MZ,78.37,overcast clouds,-16.2325,39.9086,Hotel Quirimbas
415,Ambon,ID,77.23,few clouds,-3.6954,128.1814,Hotel Hero
418,Antofagasta,CL,70.88,few clouds,-23.65,-70.4,Hotel Colón
422,Morondava,MG,80.78,broken clouds,-20.2833,44.2833,Hotel Sharon Menabe
426,Ancud,CL,65.88,scattered clouds,-41.8697,-73.8203,Cabañas
429,Oranjestad,AW,82.35,broken clouds,12.524,-70.027,Hotel California
439,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Mega Inn
446,Brasileia,BR,76.53,overcast clouds,-11.0161,-68.7481,Pousada Azeveda
454,Ilo,PE,74.26,clear sky,-17.6394,-71.3375,Hostal Central
455,Touros,BR,79.41,broken clouds,-5.1989,-35.4608,Pousada Atlântico
456,Antalaha,MG,77.67,heavy intensity rain,-14.9003,50.2788,Hôtel Florida
458,Port Blair,IN,69.84,mist,11.6667,92.75,Andaman Ocean Breeze
462,Mitsamiouli,KM,80.83,overcast clouds,-11.3847,43.2844,Hotel le Paradis
463,San Carlos,VE,88.11,broken clouds,9.6612,-68.5827,Hotel Villas del Norte
